Mobility_Surrogate_Key,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
44,,Ontario,Ottawa Division,-26.0,-6.0,104.0,-56.0,-55.0,15.0
45,,Ontario,Ottawa Division,-22.0,-9.0,212.0,-36.0,-1.0,0.0
46,,Ontario,Ottawa Division,-20.0,-10.0,94.0,-46.0,-1.0,0.0
47,,Ontario,Ottawa Division,-20.0,-7.0,40.0,-61.0,-60.0,17.0
48,,Ontario,Ottawa Division,-20.0,-6.0,63.0,-60.0,-57.0,17.0
49,,Ontario,Ottawa Division,-19.0,-4.0,76.0,-57.0,-56.0,16.0
50,,Ontario,Ottawa Division,-18.0,-2.0,38.0,-61.0,-57.0,16.0
51,,Ontario,Ottawa Division,-26.0,-6.0,72.0,-58.0,-54.0,15.0
52,,Ontario,Ottawa Division,-21.0,-9.0,92.0,-36.0,0.0,0.0
53,,Ontario,Ottawa Division,-16.0,-3.0,92.0,-44.0,2.0,0.0
54,,Ontario,Ottawa Division,-20.0,-5.0,49.0,-63.0,-59.0,16.0
55,,Ontario,Ottawa Division,-20.0,-5.0,59.0,-61.0,-57.0,16.0
56,,Ontario,Ottawa Division,-19.0,-3.0,69.0,-59.0,-56.0,15.0
57,,Ontario,Ottawa Division,-18.0,-4.0,18.0,-61.0,-57.0,17.0
58,,Ontario,Ottawa Division,-24.0,-7.0,91.0,-56.0,-53.0,14.0
59,,Ontario,Ottawa Division,-23.0,-8.0,15.0,-47.0,-8.0,5.0
60,,Ontario,Ottawa Division,-9.0,2.0,92.0,-40.0,4.0,-1.0
61,,Ontario,Ottawa Division,-14.0,-2.0,91.0,-59.0,-58.0,14.0
62,,Ontario,Ottawa Division,-18.0,-4.0,47.0,-59.0,-57.0,16.0
63,,Ontario,Ottawa Division,-22.0,-6.0,8.0,-62.0,-57.0,17.0
64,,Ontario,Ottawa Division,-13.0,2.0,77.0,-56.0,-56.0,15.0
65,,Ontario,Ottawa Division,-22.0,-5.0,61.0,-54.0,-53.0,14.0
66,,Ontario,Ottawa Division,-18.0,-5.0,92.0,-40.0,-4.0,1.0
67,,Ontario,Ottawa Division,-3.0,9.0,92.0,-39.0,4.0,-2.0
68,,Ontario,Ottawa Division,-57.0,-55.0,29.0,-77.0,-84.0,21.0
69,,Ontario,Ottawa Division,-17.0,6.0,13.0,-58.0,-58.0,16.0
70,,Ontario,Ottawa Division,-24.0,-7.0,2.0,-61.0,-57.0,18.0
71,,Ontario,Ottawa Division,-18.0,-1.0,21.0,-58.0,-56.0,17.0
72,,Ontario,Ottawa Division,-24.0,-9.0,78.0,-53.0,-52.0,15.0
73,,Ontario,Ottawa Division,-15.0,-3.0,175.0,-36.0,0.0,2.0
74,,Ontario,Ottawa Division,-17.0,-3.0,37.0,-46.0,-2.0,4.0
75,,Ontario,Ottawa Division,-19.0,-6.0,57.0,-59.0,-55.0,16.0
76,,Ontario,Ottawa Division,-21.0,-8.0,24.0,-59.0,-53.0,17.0
77,,Ontario,Ottawa Division,-22.0,-9.0,58.0,-59.0,-54.0,16.0
78,,Ontario,Ottawa Division,-19.0,-4.0,42.0,-58.0,-54.0,17.0
79,,Ontario,Ottawa Division,-26.0,-11.0,42.0,-56.0,-50.0,16.0
80,,Ontario,Ottawa Division,-18.0,-4.0,113.0,-42.0,-1.0,3.0
81,,Ontario,Ottawa Division,-13.0,1.0,131.0,-46.0,3.0,1.0
82,,Ontario,Ottawa Division,-22.0,-8.0,51.0,-61.0,-57.0,16.0
83,,Ontario,Ottawa Division,-25.0,-8.0,32.0,-60.0,-54.0,17.0
84,,Ontario,Ottawa Division,-26.0,-9.0,41.0,-62.0,-53.0,17.0
85,,Ontario,Ottawa Division,-25.0,-7.0,9.0,-62.0,-53.0,18.0
86,,Ontario,Ottawa Division,-29.0,-10.0,39.0,-58.0,-49.0,16.0
87,,Ontario,Ottawa Division,-21.0,-6.0,131.0,-46.0,0.0,3.0
88,,Ontario,Ottawa Division,-17.0,-1.0,117.0,-47.0,4.0,1.0
89,,Ontario,Ottawa Division,-25.0,-8.0,47.0,-63.0,-55.0,17.0
90,,Ontario,Ottawa Division,-28.0,-9.0,-6.0,-64.0,-54.0,18.0
91,,Ontario,Ottawa Division,-27.0,-6.0,-14.0,-65.0,-54.0,19.0
92,,Ontario,Ottawa Division,-23.0,-2.0,9.0,-61.0,-52.0,18.0
93,,Ontario,Ottawa Division,-33.0,-12.0,-8.0,-62.0,-49.0,19.0
94,,Ontario,Ottawa Division,-22.0,-3.0,78.0,-47.0,-3.0,5.0
95,,Ontario,Ottawa Division,-20.0,0.0,50.0,-53.0,-1.0,4.0
96,,Ontario,Ottawa Division,-27.0,-7.0,6.0,-65.0,-56.0,18.0
97,,Ontario,Ottawa Division,-28.0,-6.0,-4.0,-64.0,-53.0,18.0
98,,Ontario,Ottawa Division,-32.0,-9.0,-26.0,-68.0,-53.0,19.0
99,,Ontario,Ottawa Division,-24.0,3.0,5.0,-61.0,-52.0,18.0
100,,Ontario,Ottawa Division,-29.0,0.0,19.0,-57.0,-50.0,17.0
101,,Ontario,Ottawa Division,-29.0,1.0,89.0,-49.0,-4.0,6.0
102,,Ontario,Ottawa Division,-27.0,4.0,96.0,-51.0,0.0,3.0
103,,Ontario,Ottawa Division,-70.0,-62.0,42.0,-81.0,-84.0,24.0
104,,Ontario,Ottawa Division,-34.0,-7.0,-28.0,-65.0,-55.0,20.0
105,,Ontario,Ottawa Division,-31.0,-6.0,23.0,-63.0,-53.0,19.0
106,,Ontario,Ottawa Division,-33.0,-9.0,-25.0,-64.0,-54.0,21.0
107,,Ontario,Ottawa Division,-35.0,-8.0,-3.0,-61.0,-50.0,20.0
108,,Ontario,Ottawa Division,-25.0,-2.0,107.0,-46.0,-7.0,6.0
109,,Ontario,Ottawa Division,-25.0,-1.0,55.0,-52.0,-6.0,6.0
110,,Ontario,Ottawa Division,-34.0,-12.0,-19.0,-66.0,-57.0,20.0
111,,Ontario,Ottawa Division,-31.0,-7.0,0.0,-63.0,-54.0,19.0
112,,Ontario,Ottawa Division,-36.0,-13.0,-25.0,-67.0,-54.0,21.0
113,,Ontario,Ottawa Division,-30.0,-4.0,0.0,-61.0,-53.0,19.0
114,,Ontario,Ottawa Division,-30.0,-8.0,76.0,-56.0,-48.0,17.0
115,,Ontario,Ottawa Division,-27.0,-1.0,38.0,-49.0,-8.0,7.0
116,,Ontario,Ottawa Division,-23.0,1.0,60.0,-51.0,-4.0,5.0
117,,Ontario,Ottawa Division,-35.0,-13.0,-31.0,-66.0,-56.0,20.0
118,,Ontario,Ottawa Division,-31.0,-5.0,-15.0,-63.0,-53.0,19.0
119,,Ontario,Ottawa Division,-31.0,-6.0,-9.0,-63.0,-52.0,19.0
120,,Ontario,Ottawa Division,-28.0,-2.0,-21.0,-63.0,-52.0,19.0
121,,Ontario,Ottawa Division,-32.0,-3.0,-2.0,-59.0,-48.0,19.0
122,,Ontario,Ottawa Division,-26.0,3.0,51.0,-47.0,-6.0,6.0
123,,Ontario,Regional Municipality of Durham,-43.0,-42.0,237.0,-58.0,-73.0,19.0
124,,Ontario,Regional Municipality of Durham,-6.0,14.0,75.0,-49.0,-49.0,14.0
125,,Ontario,Regional Municipality of Durham,-14.0,3.0,78.0,-48.0,-50.0,14.0
126,,Ontario,Regional Municipality of Durham,-18.0,-3.0,166.0,-20.0,-7.0,4.0
127,,Ontario,Regional Municipality of Durham,-12.0,-11.0,152.0,-16.0,-6.0,1.0
128,,Ontario,Regional Municipality of Durham,-7.0,4.0,90.0,-50.0,-47.0,13.0
129,,Ontario,Regional Municipality of Durham,-8.0,4.0,81.0,-48.0,-47.0,14.0
130,,Ontario,Regional Municipality of Durham,-8.0,3.0,64.0,-51.0,-45.0,14.0
131,,Ontario,Regional Municipality of Durham,-8.0,9.0,72.0,-50.0,-45.0,14.0
132,,Ontario,Regional Municipality of Durham,-16.0,-4.0,58.0,-48.0,-45.0,13.0
133,,Ontario,Regional Municipality of Durham,-20.0,-4.0,59.0,-29.0,-7.0,6.0
134,,Ontario,Regional Municipality of Durham,-12.0,-11.0,124.0,-22.0,-5.0,2.0
135,,Ontario,Regional Municipality of Durham,-9.0,0.0,80.0,-50.0,-47.0,13.0
136,,Ontario,Regional Municipality of Durham,-8.0,2.0,89.0,-48.0,-46.0,13.0
137,,Ontario,Regional Municipality of Durham,-7.0,1.0,81.0,-50.0,-44.0,13.0
138,,Ontario,Regional Municipality of Durham,-12.0,6.0,24.0,-54.0,-46.0,15.0
139,,Ontario,Regional Municipality of Durham,-14.0,-1.0,88.0,-44.0,-44.0,12.0
140,,Ontario,Regional Municipality of Durham,-16.0,-5.0,178.0,-17.0,-5.0,2.0
141,,Ontario,Regional Municipality of Durham,-19.0,-15.0,75.0,-25.0,-10.0,3.0
142,,Ontario,Regional Municipality of Durham,-6.0,2.0,94.0,-48.0,-45.0,12.0
143,,Ontario,Regional Municipality of Durham,-8.0,1.0,84.0,-48.0,-45.0,13.0
144,,Ontario,Regional Municipality of Durham,-11.0,-2.0,25.0,-52.0,-45.0,14.0
145,,Ontario,Regional Municipality of Durham,-8.0,7.0,84.0,-50.0,-44.0,13.0
146,,Ontario,Regional Municipality of Durham,-12.0,0.0,89.0,-47.0,-43.0,12.0
