Mobility_Surrogate_Key,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
297,,Ontario,Regional Municipality of Halton,-17.0,-4.0,92.0,-53.0,-49.0,13.0
298,,Ontario,Regional Municipality of Halton,-20.0,-3.0,92.0,-25.0,-2.0,2.0
299,,Ontario,Regional Municipality of Halton,-19.0,-10.0,92.0,-51.0,-3.0,0.0
300,,Ontario,Regional Municipality of Halton,-13.0,-2.0,92.0,-59.0,-52.0,15.0
301,,Ontario,Regional Municipality of Halton,-12.0,1.0,92.0,-57.0,-50.0,14.0
302,,Ontario,Regional Municipality of Halton,-12.0,-2.0,92.0,-58.0,-51.0,16.0
303,,Ontario,Regional Municipality of Halton,-13.0,2.0,92.0,-54.0,-49.0,15.0
304,,Ontario,Regional Municipality of Halton,-15.0,-1.0,92.0,-47.0,-48.0,14.0
305,,Ontario,Regional Municipality of Halton,-18.0,0.0,92.0,-17.0,-5.0,3.0
306,,Ontario,Regional Municipality of Halton,-14.0,-5.0,92.0,-51.0,-2.0,0.0
307,,Ontario,Regional Municipality of Halton,-11.0,3.0,92.0,-53.0,-50.0,14.0
308,,Ontario,Regional Municipality of Halton,-12.0,2.0,92.0,-51.0,-49.0,14.0
309,,Ontario,Regional Municipality of Halton,-11.0,0.0,92.0,-56.0,-50.0,15.0
310,,Ontario,Regional Municipality of Halton,-11.0,3.0,92.0,-52.0,-49.0,13.0
311,,Ontario,Regional Municipality of Halton,-13.0,3.0,92.0,-49.0,-49.0,12.0
312,,Ontario,Regional Municipality of Halton,-20.0,0.0,92.0,-22.0,-7.0,2.0
313,,Ontario,Regional Municipality of Halton,-7.0,2.0,92.0,-51.0,-4.0,-1.0
314,,Ontario,Regional Municipality of Halton,-51.0,-51.0,92.0,-64.0,-85.0,22.0
315,,Ontario,Regional Municipality of Halton,-13.0,12.0,92.0,-55.0,-50.0,15.0
316,,Ontario,Regional Municipality of Halton,-13.0,1.0,92.0,-55.0,-49.0,15.0
317,,Ontario,Regional Municipality of Halton,-13.0,1.0,92.0,-50.0,-48.0,15.0
318,,Ontario,Regional Municipality of Halton,-15.0,-1.0,137.0,-45.0,-45.0,13.0
319,,Ontario,Regional Municipality of Halton,-13.0,1.0,254.0,-12.0,0.0,3.0
320,,Ontario,Regional Municipality of Halton,-15.0,-4.0,129.0,-22.0,-5.0,3.0
321,,Ontario,Regional Municipality of Halton,-15.0,0.0,146.0,-52.0,-45.0,15.0
322,,Ontario,Regional Municipality of Halton,-16.0,-1.0,137.0,-53.0,-44.0,15.0
323,,Ontario,Regional Municipality of Halton,-14.0,-5.0,141.0,-51.0,-46.0,15.0
324,,Ontario,Regional Municipality of Halton,-14.0,-1.0,127.0,-52.0,-45.0,15.0
325,,Ontario,Regional Municipality of Halton,-16.0,-2.0,109.0,-48.0,-42.0,13.0
326,,Ontario,Regional Municipality of Halton,-15.0,2.0,217.0,-19.0,-1.0,4.0
327,,Ontario,Regional Municipality of Halton,-13.0,-1.0,174.0,-17.0,-2.0,3.0
328,,Ontario,Regional Municipality of Halton,-19.0,0.0,126.0,-57.0,-46.0,15.0
329,,Ontario,Regional Municipality of Halton,-19.0,0.0,136.0,-56.0,-45.0,15.0
330,,Ontario,Regional Municipality of Halton,-16.0,-2.0,137.0,-55.0,-45.0,15.0
331,,Ontario,Regional Municipality of Halton,-18.0,1.0,114.0,-55.0,-44.0,16.0
332,,Ontario,Regional Municipality of Halton,-19.0,1.0,134.0,-48.0,-41.0,13.0
333,,Ontario,Regional Municipality of Halton,-16.0,5.0,275.0,-24.0,2.0,3.0
334,,Ontario,Regional Municipality of Halton,-15.0,3.0,202.0,-21.0,0.0,2.0
335,,Ontario,Regional Municipality of Halton,-21.0,2.0,117.0,-56.0,-44.0,15.0
336,,Ontario,Regional Municipality of Halton,-20.0,4.0,98.0,-55.0,-43.0,15.0
337,,Ontario,Regional Municipality of Halton,-19.0,0.0,44.0,-56.0,-45.0,17.0
338,,Ontario,Regional Municipality of Halton,-18.0,4.0,76.0,-56.0,-42.0,16.0
339,,Ontario,Regional Municipality of Halton,-22.0,-1.0,38.0,-55.0,-41.0,16.0
340,,Ontario,Regional Municipality of Halton,-17.0,6.0,188.0,-27.0,-1.0,5.0
341,,Ontario,Regional Municipality of Halton,-24.0,0.0,-6.0,-32.0,-8.0,6.0
342,,Ontario,Regional Municipality of Halton,-21.0,4.0,113.0,-56.0,-43.0,15.0
343,,Ontario,Regional Municipality of Halton,-21.0,4.0,116.0,-55.0,-43.0,15.0
344,,Ontario,Regional Municipality of Halton,-19.0,4.0,63.0,-57.0,-44.0,17.0
345,,Ontario,Regional Municipality of Halton,-18.0,9.0,86.0,-55.0,-42.0,16.0
346,,Ontario,Regional Municipality of Halton,-18.0,13.0,123.0,-50.0,-41.0,14.0
347,,Ontario,Regional Municipality of Halton,-21.0,12.0,215.0,-29.0,-4.0,5.0
348,,Ontario,Regional Municipality of Halton,-22.0,9.0,126.0,-24.0,-6.0,3.0
349,,Ontario,Regional Municipality of Halton,-59.0,-54.0,259.0,-78.0,-85.0,25.0
350,,Ontario,Regional Municipality of Halton,-21.0,8.0,133.0,-55.0,-43.0,15.0
351,,Ontario,Regional Municipality of Halton,-16.0,4.0,107.0,-55.0,-44.0,17.0
352,,Ontario,Regional Municipality of Halton,-22.0,-2.0,-1.0,-58.0,-43.0,19.0
353,,Ontario,Regional Municipality of Halton,-18.0,3.0,97.0,-51.0,-40.0,16.0
354,,Ontario,Regional Municipality of Halton,-13.0,10.0,246.0,-23.0,-2.0,6.0
355,,Ontario,Regional Municipality of Halton,-18.0,0.0,82.0,-28.0,-8.0,6.0
356,,Ontario,Regional Municipality of Halton,-24.0,-1.0,12.0,-59.0,-43.0,18.0
357,,Ontario,Regional Municipality of Halton,-21.0,2.0,86.0,-55.0,-42.0,16.0
358,,Ontario,Regional Municipality of Halton,-19.0,0.0,53.0,-56.0,-44.0,18.0
359,,Ontario,Regional Municipality of Halton,-19.0,1.0,39.0,-55.0,-42.0,18.0
360,,Ontario,Regional Municipality of Halton,-18.0,-1.0,153.0,-50.0,-40.0,15.0
361,,Ontario,Regional Municipality of Halton,-14.0,7.0,139.0,-26.0,-2.0,7.0
362,,Ontario,Regional Municipality of Halton,-15.0,1.0,65.0,-25.0,-6.0,6.0
363,,Ontario,Regional Municipality of Halton,-22.0,2.0,42.0,-55.0,-42.0,17.0
364,,Ontario,Regional Municipality of Halton,-22.0,1.0,27.0,-56.0,-42.0,17.0
365,,Ontario,Regional Municipality of Halton,-15.0,4.0,74.0,-56.0,-43.0,17.0
366,,Ontario,Regional Municipality of Halton,-18.0,4.0,26.0,-56.0,-41.0,17.0
367,,Ontario,Regional Municipality of Halton,-18.0,4.0,16.0,-54.0,-40.0,16.0
368,,Ontario,Regional Municipality of Halton,-16.0,10.0,120.0,-24.0,-1.0,7.0
369,,Ontario,Regional Municipality of Peel,-48.0,-41.0,196.0,-69.0,-74.0,22.0
370,,Ontario,Regional Municipality of Peel,-18.0,9.0,79.0,-61.0,-49.0,16.0
371,,Ontario,Regional Municipality of Peel,-23.0,0.0,89.0,-62.0,-52.0,17.0
372,,Ontario,Regional Municipality of Peel,-28.0,-10.0,119.0,-58.0,-12.0,5.0
373,,Ontario,Regional Municipality of Peel,-26.0,-14.0,125.0,-61.0,-9.0,3.0
374,,Ontario,Regional Municipality of Peel,-21.0,-4.0,87.0,-62.0,-48.0,16.0
375,,Ontario,Regional Municipality of Peel,-22.0,-2.0,82.0,-60.0,-46.0,16.0
376,,Ontario,Regional Municipality of Peel,-21.0,-3.0,75.0,-62.0,-47.0,16.0
377,,Ontario,Regional Municipality of Peel,-20.0,0.0,75.0,-60.0,-46.0,16.0
378,,Ontario,Regional Municipality of Peel,-24.0,-7.0,61.0,-61.0,-45.0,16.0
379,,Ontario,Regional Municipality of Peel,-27.0,-8.0,66.0,-58.0,-8.0,7.0
380,,Ontario,Regional Municipality of Peel,-24.0,-11.0,144.0,-61.0,-7.0,3.0
381,,Ontario,Regional Municipality of Peel,-21.0,-6.0,88.0,-62.0,-46.0,16.0
382,,Ontario,Regional Municipality of Peel,-21.0,-2.0,99.0,-61.0,-46.0,15.0
383,,Ontario,Regional Municipality of Peel,-20.0,-2.0,105.0,-62.0,-46.0,15.0
384,,Ontario,Regional Municipality of Peel,-22.0,0.0,33.0,-62.0,-45.0,17.0
385,,Ontario,Regional Municipality of Peel,-22.0,-2.0,95.0,-61.0,-44.0,15.0
386,,Ontario,Regional Municipality of Peel,-26.0,-9.0,118.0,-56.0,-7.0,4.0
387,,Ontario,Regional Municipality of Peel,-29.0,-14.0,78.0,-63.0,-10.0,4.0
388,,Ontario,Regional Municipality of Peel,-20.0,0.0,106.0,-62.0,-45.0,15.0
389,,Ontario,Regional Municipality of Peel,-20.0,1.0,101.0,-61.0,-44.0,15.0
390,,Ontario,Regional Municipality of Peel,-23.0,-5.0,33.0,-63.0,-46.0,17.0
391,,Ontario,Regional Municipality of Peel,-19.0,4.0,101.0,-61.0,-44.0,15.0
392,,Ontario,Regional Municipality of Peel,-22.0,-3.0,97.0,-60.0,-43.0,14.0
393,,Ontario,Regional Municipality of Peel,-25.0,-8.0,131.0,-56.0,-7.0,4.0
394,,Ontario,Regional Municipality of Peel,-23.0,-10.0,128.0,-61.0,-7.0,2.0
395,,Ontario,Regional Municipality of Peel,-23.0,-3.0,71.0,-63.0,-47.0,16.0
396,,Ontario,Regional Municipality of Peel,-20.0,3.0,95.0,-60.0,-44.0,15.0
397,,Ontario,Regional Municipality of Peel,-18.0,3.0,93.0,-60.0,-46.0,15.0
398,,Ontario,Regional Municipality of Peel,-15.0,11.0,97.0,-57.0,-45.0,14.0
399,,Ontario,Regional Municipality of Peel,-17.0,3.0,109.0,-57.0,-46.0,13.0
400,,Ontario,Regional Municipality of Peel,-25.0,-8.0,123.0,-52.0,-11.0,2.0
401,,Ontario,Regional Municipality of Peel,-19.0,-4.0,55.0,-60.0,-15.0,3.0
402,,Ontario,Regional Municipality of Peel,-33.0,-20.0,85.0,-71.0,-77.0,22.0
403,,Ontario,Regional Municipality of Peel,-21.0,2.0,23.0,-60.0,-46.0,16.0
404,,Ontario,Regional Municipality of Peel,-14.0,5.0,115.0,-58.0,-46.0,14.0
405,,Ontario,Regional Municipality of Peel,-15.0,5.0,109.0,-58.0,-45.0,14.0
406,,Ontario,Regional Municipality of Peel,-20.0,-4.0,103.0,-57.0,-44.0,13.0
407,,Ontario,Regional Municipality of Peel,-22.0,-8.0,141.0,-51.0,-6.0,2.0
408,,Ontario,Regional Municipality of Peel,-20.0,-10.0,131.0,-56.0,-7.0,1.0
409,,Ontario,Regional Municipality of Peel,-17.0,-3.0,93.0,-60.0,-46.0,14.0
410,,Ontario,Regional Municipality of Peel,-18.0,3.0,92.0,-59.0,-44.0,14.0
411,,Ontario,Regional Municipality of Peel,-16.0,1.0,109.0,-58.0,-45.0,14.0
412,,Ontario,Regional Municipality of Peel,-16.0,3.0,103.0,-58.0,-44.0,14.0
413,,Ontario,Regional Municipality of Peel,-19.0,-4.0,101.0,-57.0,-44.0,13.0
414,,Ontario,Regional Municipality of Peel,-21.0,-8.0,139.0,-50.0,-8.0,1.0
415,,Ontario,Regional Municipality of Peel,-20.0,-8.0,104.0,-55.0,-8.0,2.0
416,,Ontario,Regional Municipality of Peel,-19.0,-5.0,67.0,-60.0,-46.0,14.0
417,,Ontario,Regional Municipality of Peel,-17.0,0.0,92.0,-58.0,-43.0,13.0
418,,Ontario,Regional Municipality of Peel,-16.0,-1.0,105.0,-58.0,-44.0,14.0
419,,Ontario,Regional Municipality of Peel,-14.0,2.0,101.0,-57.0,-43.0,13.0
420,,Ontario,Regional Municipality of Peel,-19.0,-5.0,89.0,-57.0,-43.0,13.0
421,,Ontario,Regional Municipality of Peel,-21.0,-10.0,126.0,-52.0,-6.0,1.0
422,,Ontario,Regional Municipality of Peel,-20.0,-11.0,111.0,-56.0,-6.0,0.0
423,,Ontario,Regional Municipality of Peel,-18.0,-6.0,87.0,-59.0,-45.0,14.0
424,,Ontario,Regional Municipality of Peel,-16.0,0.0,98.0,-57.0,-43.0,13.0
425,,Ontario,Regional Municipality of Peel,-17.0,-4.0,50.0,-59.0,-44.0,14.0
426,,Ontario,Regional Municipality of Peel,-14.0,2.0,84.0,-56.0,-43.0,13.0
427,,Ontario,Regional Municipality of Peel,-18.0,-6.0,71.0,-55.0,-43.0,13.0
428,,Ontario,Regional Municipality of Peel,-19.0,-5.0,100.0,-52.0,-5.0,2.0
429,,Ontario,Regional Municipality of Peel,-16.0,-8.0,139.0,-53.0,-6.0,0.0
430,,Ontario,Regional Municipality of Peel,-15.0,-2.0,96.0,-56.0,-45.0,13.0
431,,Ontario,Regional Municipality of Peel,-15.0,1.0,85.0,-55.0,-43.0,13.0
432,,Ontario,Regional Municipality of Peel,-15.0,-1.0,71.0,-57.0,-44.0,13.0
433,,Ontario,Regional Municipality of Peel,-13.0,2.0,88.0,-54.0,-43.0,12.0
434,,Ontario,Regional Municipality of Peel,-14.0,-1.0,81.0,-54.0,-44.0,12.0
435,,Ontario,Regional Municipality of Peel,-20.0,-6.0,90.0,-53.0,-10.0,1.0
436,,Ontario,Regional Municipality of Peel,-10.0,-3.0,140.0,-55.0,-12.0,-2.0
437,,Ontario,Regional Municipality of Peel,-43.0,-41.0,78.0,-71.0,-82.0,23.0
438,,Ontario,Regional Municipality of Peel,-13.0,9.0,32.0,-55.0,-45.0,13.0
439,,Ontario,Regional Municipality of Peel,-17.0,-2.0,45.0,-57.0,-44.0,13.0
440,,Ontario,Regional Municipality of Peel,-15.0,2.0,56.0,-56.0,-43.0,13.0
441,,Ontario,Regional Municipality of Peel,-17.0,-6.0,70.0,-55.0,-41.0,12.0
442,,Ontario,Regional Municipality of Peel,-16.0,-4.0,120.0,-49.0,-2.0,3.0
443,,Ontario,Regional Municipality of Peel,-16.0,-7.0,95.0,-55.0,-6.0,3.0
444,,Ontario,Regional Municipality of Peel,-18.0,-6.0,65.0,-57.0,-41.0,14.0
445,,Ontario,Regional Municipality of Peel,-17.0,-3.0,63.0,-56.0,-39.0,13.0
446,,Ontario,Regional Municipality of Peel,-17.0,-4.0,77.0,-57.0,-41.0,13.0
447,,Ontario,Regional Municipality of Peel,-16.0,-2.0,66.0,-55.0,-40.0,13.0
448,,Ontario,Regional Municipality of Peel,-18.0,-8.0,46.0,-55.0,-39.0,13.0
449,,Ontario,Regional Municipality of Peel,-17.0,-5.0,83.0,-52.0,-2.0,4.0
450,,Ontario,Regional Municipality of Peel,-16.0,-7.0,99.0,-56.0,-4.0,2.0
451,,Ontario,Regional Municipality of Peel,-20.0,-8.0,56.0,-58.0,-42.0,14.0
452,,Ontario,Regional Municipality of Peel,-20.0,-4.0,55.0,-57.0,-40.0,13.0
453,,Ontario,Regional Municipality of Peel,-20.0,-4.0,68.0,-59.0,-40.0,14.0
454,,Ontario,Regional Municipality of Peel,-19.0,-3.0,42.0,-58.0,-40.0,14.0
455,,Ontario,Regional Municipality of Peel,-20.0,-8.0,57.0,-57.0,-39.0,13.0
456,,Ontario,Regional Municipality of Peel,-18.0,-5.0,106.0,-53.0,1.0,3.0
457,,Ontario,Regional Municipality of Peel,-16.0,-7.0,110.0,-57.0,-3.0,2.0
458,,Ontario,Regional Municipality of Peel,-23.0,-8.0,43.0,-59.0,-41.0,14.0
459,,Ontario,Regional Municipality of Peel,-21.0,-3.0,35.0,-58.0,-39.0,14.0
460,,Ontario,Regional Municipality of Peel,-21.0,-5.0,9.0,-59.0,-40.0,14.0
461,,Ontario,Regional Municipality of Peel,-18.0,2.0,28.0,-57.0,-38.0,14.0
462,,Ontario,Regional Municipality of Peel,-21.0,-8.0,13.0,-57.0,-38.0,14.0
463,,Ontario,Regional Municipality of Peel,-19.0,-6.0,59.0,-53.0,-2.0,5.0
464,,Ontario,Regional Municipality of Peel,-22.0,-10.0,-14.0,-60.0,-8.0,5.0
465,,Ontario,Regional Municipality of Peel,-21.0,-6.0,34.0,-59.0,-41.0,14.0
466,,Ontario,Regional Municipality of Peel,-21.0,-2.0,39.0,-58.0,-39.0,14.0
467,,Ontario,Regional Municipality of Peel,-22.0,-5.0,14.0,-61.0,-40.0,15.0
468,,Ontario,Regional Municipality of Peel,-19.0,2.0,24.0,-57.0,-39.0,14.0
469,,Ontario,Regional Municipality of Peel,-18.0,3.0,46.0,-55.0,-39.0,13.0
470,,Ontario,Regional Municipality of Peel,-24.0,-1.0,70.0,-53.0,-5.0,5.0
471,,Ontario,Regional Municipality of Peel,-22.0,0.0,51.0,-60.0,-11.0,3.0
472,,Ontario,Regional Municipality of Peel,-57.0,-47.0,65.0,-74.0,-82.0,27.0
473,,Ontario,Regional Municipality of Peel,-24.0,1.0,46.0,-57.0,-40.0,14.0
474,,Ontario,Regional Municipality of Peel,-25.0,-5.0,35.0,-59.0,-40.0,15.0
475,,Ontario,Regional Municipality of Peel,-27.0,-8.0,-20.0,-60.0,-40.0,16.0
476,,Ontario,Regional Municipality of Peel,-24.0,-6.0,28.0,-57.0,-38.0,15.0
477,,Ontario,Regional Municipality of Peel,-23.0,-4.0,75.0,-53.0,-2.0,6.0
478,,Ontario,Regional Municipality of Peel,-26.0,-9.0,27.0,-59.0,-9.0,6.0
479,,Ontario,Regional Municipality of Peel,-28.0,-12.0,-12.0,-61.0,-42.0,16.0
480,,Ontario,Regional Municipality of Peel,-25.0,-3.0,15.0,-59.0,-39.0,15.0
481,,Ontario,Regional Municipality of Peel,-26.0,-6.0,11.0,-61.0,-40.0,16.0
482,,Ontario,Regional Municipality of Peel,-25.0,-3.0,4.0,-58.0,-39.0,16.0
483,,Ontario,Regional Municipality of Peel,-26.0,-9.0,60.0,-56.0,-38.0,15.0
484,,Ontario,Regional Municipality of Peel,-24.0,-4.0,30.0,-54.0,-3.0,7.0
485,,Ontario,Regional Municipality of Peel,-24.0,-8.0,20.0,-58.0,-9.0,5.0
486,,Ontario,Regional Municipality of Peel,-27.0,-10.0,2.0,-60.0,-41.0,16.0
487,,Ontario,Regional Municipality of Peel,-29.0,-9.0,-16.0,-60.0,-39.0,15.0
488,,Ontario,Regional Municipality of Peel,-24.0,-4.0,21.0,-58.0,-39.0,15.0
489,,Ontario,Regional Municipality of Peel,-24.0,-3.0,-10.0,-59.0,-39.0,15.0
490,,Ontario,Regional Municipality of Peel,-25.0,-7.0,-11.0,-57.0,-38.0,15.0
491,,Ontario,Regional Municipality of Peel,-22.0,-2.0,23.0,-52.0,-2.0,6.0
492,,Ontario,Regional Municipality of York,-42.0,-32.0,392.0,-61.0,-76.0,23.0
493,,Ontario,Regional Municipality of York,-18.0,8.0,171.0,-52.0,-53.0,19.0
494,,Ontario,Regional Municipality of York,-25.0,2.0,176.0,-51.0,-55.0,19.0
495,,Ontario,Regional Municipality of York,-32.0,-5.0,271.0,-29.0,-11.0,6.0
496,,Ontario,Regional Municipality of York,-31.0,-12.0,236.0,-33.0,-12.0,4.0
497,,Ontario,Regional Municipality of York,-19.0,-1.0,195.0,-51.0,-52.0,18.0
498,,Ontario,Regional Municipality of York,-23.0,1.0,167.0,-52.0,-51.0,19.0
499,,Ontario,Regional Municipality of York,-20.0,0.0,173.0,-52.0,-52.0,19.0
500,,Ontario,Regional Municipality of York,-21.0,6.0,158.0,-51.0,-51.0,19.0
501,,Ontario,Regional Municipality of York,-26.0,-3.0,139.0,-49.0,-49.0,18.0
502,,Ontario,Regional Municipality of York,-30.0,-4.0,111.0,-33.0,-9.0,9.0
503,,Ontario,Regional Municipality of York,-28.0,-8.0,253.0,-31.0,-9.0,4.0
504,,Ontario,Regional Municipality of York,-19.0,-1.0,211.0,-51.0,-51.0,18.0
505,,Ontario,Regional Municipality of York,-21.0,-1.0,204.0,-51.0,-50.0,18.0
506,,Ontario,Regional Municipality of York,-18.0,-1.0,205.0,-52.0,-50.0,18.0
507,,Ontario,Regional Municipality of York,-22.0,4.0,98.0,-54.0,-50.0,20.0
508,,Ontario,Regional Municipality of York,-23.0,0.0,189.0,-49.0,-48.0,17.0
509,,Ontario,Regional Municipality of York,-29.0,-3.0,280.0,-28.0,-7.0,5.0
510,,Ontario,Regional Municipality of York,-34.0,-15.0,144.0,-40.0,-13.0,6.0
511,,Ontario,Regional Municipality of York,-17.0,1.0,221.0,-51.0,-49.0,17.0
512,,Ontario,Regional Municipality of York,-21.0,1.0,204.0,-52.0,-49.0,18.0
513,,Ontario,Regional Municipality of York,-21.0,-3.0,105.0,-55.0,-50.0,20.0
514,,Ontario,Regional Municipality of York,-18.0,6.0,211.0,-51.0,-49.0,17.0
515,,Ontario,Regional Municipality of York,-22.0,0.0,198.0,-49.0,-47.0,16.0
516,,Ontario,Regional Municipality of York,-26.0,-3.0,311.0,-25.0,-6.0,4.0
517,,Ontario,Regional Municipality of York,-26.0,-8.0,250.0,-34.0,-9.0,3.0
518,,Ontario,Regional Municipality of York,-17.0,-2.0,164.0,-53.0,-51.0,18.0
519,,Ontario,Regional Municipality of York,-18.0,3.0,214.0,-51.0,-49.0,17.0
520,,Ontario,Regional Municipality of York,-14.0,1.0,206.0,-53.0,-51.0,18.0
521,,Ontario,Regional Municipality of York,-14.0,10.0,226.0,-49.0,-50.0,17.0
522,,Ontario,Regional Municipality of York,-18.0,5.0,212.0,-47.0,-49.0,15.0
523,,Ontario,Regional Municipality of York,-27.0,-4.0,321.0,-29.0,-12.0,2.0
524,,Ontario,Regional Municipality of York,-27.0,-11.0,65.0,-49.0,-16.0,6.0
525,,Ontario,Regional Municipality of York,-31.0,-23.0,220.0,-68.0,-79.0,22.0
526,,Ontario,Regional Municipality of York,-19.0,1.0,76.0,-55.0,-51.0,18.0
527,,Ontario,Regional Municipality of York,-12.0,4.0,255.0,-51.0,-50.0,17.0
528,,Ontario,Regional Municipality of York,-13.0,6.0,251.0,-51.0,-49.0,16.0
529,,Ontario,Regional Municipality of York,-20.0,-3.0,215.0,-49.0,-47.0,15.0
530,,Ontario,Regional Municipality of York,-23.0,-5.0,349.0,-26.0,-6.0,3.0
531,,Ontario,Regional Municipality of York,-23.0,-10.0,261.0,-34.0,-9.0,2.0
532,,Ontario,Regional Municipality of York,-13.0,-3.0,217.0,-53.0,-50.0,16.0
533,,Ontario,Regional Municipality of York,-16.0,1.0,208.0,-53.0,-49.0,17.0
534,,Ontario,Regional Municipality of York,-12.0,0.0,248.0,-51.0,-50.0,16.0
535,,Ontario,Regional Municipality of York,-14.0,4.0,235.0,-51.0,-49.0,16.0
536,,Ontario,Regional Municipality of York,-19.0,0.0,214.0,-47.0,-47.0,15.0
537,,Ontario,Regional Municipality of York,-23.0,-3.0,315.0,-25.0,-6.0,2.0
538,,Ontario,Regional Municipality of York,-23.0,-7.0,166.0,-37.0,-11.0,3.0
539,,Ontario,Regional Municipality of York,-15.0,-4.0,92.0,-52.0,-50.0,16.0
540,,Ontario,Regional Municipality of York,-15.0,2.0,92.0,-52.0,-48.0,16.0
541,,Ontario,Regional Municipality of York,-13.0,0.0,92.0,-51.0,-50.0,16.0
542,,Ontario,Regional Municipality of York,-13.0,6.0,92.0,-49.0,-49.0,15.0
543,,Ontario,Regional Municipality of York,-18.0,0.0,92.0,-47.0,-47.0,15.0
544,,Ontario,Regional Municipality of York,-22.0,-4.0,92.0,-25.0,-6.0,3.0
545,,Ontario,Regional Municipality of York,-22.0,-7.0,92.0,-30.0,-8.0,2.0
546,,Ontario,Regional Municipality of York,-12.0,-1.0,92.0,-51.0,-49.0,15.0
547,,Ontario,Regional Municipality of York,-14.0,4.0,92.0,-50.0,-49.0,15.0
548,,Ontario,Regional Municipality of York,-13.0,-1.0,92.0,-51.0,-49.0,16.0
549,,Ontario,Regional Municipality of York,-13.0,6.0,92.0,-50.0,-48.0,16.0
550,,Ontario,Regional Municipality of York,-18.0,2.0,92.0,-48.0,-46.0,15.0
551,,Ontario,Regional Municipality of York,-20.0,3.0,92.0,-26.0,-7.0,4.0
552,,Ontario,Regional Municipality of York,-18.0,-3.0,92.0,-25.0,-6.0,1.0
553,,Ontario,Regional Municipality of York,-11.0,2.0,92.0,-50.0,-49.0,14.0
554,,Ontario,Regional Municipality of York,-14.0,4.0,92.0,-49.0,-49.0,15.0
555,,Ontario,Regional Municipality of York,-11.0,4.0,92.0,-52.0,-50.0,16.0
556,,Ontario,Regional Municipality of York,-11.0,7.0,92.0,-49.0,-48.0,15.0
557,,Ontario,Regional Municipality of York,-13.0,6.0,92.0,-45.0,-47.0,13.0
558,,Ontario,Regional Municipality of York,-20.0,0.0,92.0,-24.0,-11.0,2.0
559,,Ontario,Regional Municipality of York,-14.0,-1.0,92.0,-30.0,-9.0,0.0
560,,Ontario,Regional Municipality of York,-30.0,-21.0,92.0,-69.0,-83.0,23.0
561,,Ontario,Regional Municipality of York,-14.0,9.0,92.0,-52.0,-50.0,16.0
562,,Ontario,Regional Municipality of York,-13.0,4.0,92.0,-53.0,-49.0,16.0
563,,Ontario,Regional Municipality of York,-13.0,5.0,92.0,-50.0,-48.0,16.0
564,,Ontario,Regional Municipality of York,-16.0,2.0,163.0,-46.0,-45.0,15.0
565,,Ontario,Regional Municipality of York,-16.0,3.0,281.0,-21.0,-3.0,4.0
566,,Ontario,Regional Municipality of York,-18.0,-1.0,194.0,-31.0,-4.0,5.0
567,,Ontario,Regional Municipality of York,-13.0,1.0,178.0,-52.0,-45.0,15.0
568,,Ontario,Regional Municipality of York,-15.0,3.0,151.0,-51.0,-45.0,16.0
569,,Ontario,Regional Municipality of York,-14.0,0.0,175.0,-49.0,-46.0,16.0
570,,Ontario,Regional Municipality of York,-16.0,5.0,157.0,-50.0,-45.0,16.0
571,,Ontario,Regional Municipality of York,-18.0,1.0,119.0,-48.0,-43.0,15.0
572,,Ontario,Regional Municipality of York,-18.0,4.0,230.0,-27.0,-3.0,5.0
573,,Ontario,Regional Municipality of York,-18.0,-1.0,242.0,-31.0,-3.0,4.0
574,,Ontario,Regional Municipality of York,-16.0,0.0,169.0,-51.0,-46.0,16.0
575,,Ontario,Regional Municipality of York,-19.0,3.0,153.0,-51.0,-46.0,16.0
576,,Ontario,Regional Municipality of York,-17.0,3.0,159.0,-51.0,-45.0,16.0
577,,Ontario,Regional Municipality of York,-19.0,4.0,126.0,-52.0,-44.0,16.0
578,,Ontario,Regional Municipality of York,-20.0,2.0,139.0,-49.0,-41.0,15.0
579,,Ontario,Regional Municipality of York,-19.0,5.0,268.0,-27.0,0.0,4.0
580,,Ontario,Regional Municipality of York,-19.0,1.0,239.0,-34.0,-1.0,3.0
581,,Ontario,Regional Municipality of York,-21.0,-1.0,157.0,-54.0,-46.0,16.0
582,,Ontario,Regional Municipality of York,-20.0,6.0,107.0,-53.0,-44.0,16.0
583,,Ontario,Regional Municipality of York,-19.0,3.0,45.0,-56.0,-45.0,17.0
584,,Ontario,Regional Municipality of York,-17.0,11.0,110.0,-53.0,-42.0,16.0
585,,Ontario,Regional Municipality of York,-22.0,1.0,83.0,-50.0,-41.0,17.0
586,,Ontario,Regional Municipality of York,-21.0,2.0,211.0,-30.0,-3.0,6.0
587,,Ontario,Regional Municipality of York,-26.0,-4.0,24.0,-45.0,-9.0,7.0
588,,Ontario,Regional Municipality of York,-19.0,0.0,141.0,-53.0,-44.0,16.0
589,,Ontario,Regional Municipality of York,-21.0,5.0,115.0,-54.0,-45.0,17.0
590,,Ontario,Regional Municipality of York,-20.0,2.0,59.0,-57.0,-45.0,18.0
591,,Ontario,Regional Municipality of York,-19.0,9.0,85.0,-54.0,-43.0,17.0
592,,Ontario,Regional Municipality of York,-19.0,13.0,122.0,-50.0,-42.0,15.0
593,,Ontario,Regional Municipality of York,-23.0,9.0,213.0,-33.0,-5.0,6.0
